start time,title,artist,duration,program id
2021-06-02T00:02:49-05:00,Learning To Fly,Tom Petty & The Heartbreakers,231,4018
2021-06-02T00:06:46-05:00,Feels Like The First Time,Foreigner,202,1472
2021-06-02T00:10:08-05:00,Back In Black,AC/DC,236,1491
2021-06-02T00:18:38-05:00,Layla,Derek & The Dominoes,418,1588
2021-06-02T00:25:36-05:00,Start Me Up,Rolling Stones,205,1416
2021-06-02T00:29:06-05:00,Have A Cigar,Pink Floyd,292,1611
2021-06-02T00:33:59-05:00,Soul To Squeeze,Red Hot Chili Peppers,284,1013
2021-06-02T00:38:49-05:00,Gimme All Your Lovin',ZZ Top,231,2195
2021-06-02T00:42:41-05:00,Whole Lotta Love,Led Zeppelin,322,1662
2021-06-02T00:48:08-05:00,Outside,Staind,287,3456
2021-06-02T00:57:38-05:00,Pour Some Sugar On Me,Def Leppard,263,4979
2021-06-02T01:02:07-05:00,Magic Man,Heart,325,1276
2021-06-02T01:07:38-05:00,Paradise City,Guns N' Roses,404,4741
2021-06-02T01:14:22-05:00,The Chain,Fleetwood Mac,253,1763
