start time,title,artist,duration,program id
2021-07-23T00:00:46-05:00,Layla,Derek & The Dominoes,418,1588
2021-07-23T00:07:48-05:00,Turn The Page,Metallica,304,2449
2021-07-23T00:12:53-05:00,I Wanna Rock,Twisted Sister,176,4430
2021-07-23T00:21:14-05:00,Come Together,Aerosmith,220,4148
2021-07-23T00:24:56-05:00,It's Been Awhile,Staind,259,2346
2021-07-23T00:29:21-05:00,Highway To Hell,AC/DC,206,1608
2021-07-23T00:32:48-05:00,Sunday Bloody Sunday,U2,272,1799
2021-07-23T00:37:25-05:00,Rock And Roll,Led Zeppelin,217,1501
2021-07-23T00:41:03-05:00,Cum On Feel The Noize,Quiet Riot,273,2761
2021-07-23T00:45:42-05:00,You're My Best Friend,Queen,168,1902
2021-07-23T00:50:36-05:00,Bullet With Butterfly Wings,Smashing Pumpkins,255,2801
2021-07-23T00:54:52-05:00,Panama,Van Halen,209,2826
2021-07-23T00:58:27-05:00,Paranoid,Black Sabbath,164,1437
2021-07-23T01:01:18-05:00,Civil War,Guns N' Roses,447,3074
2021-07-23T01:08:51-05:00,Here I Go Again,Whitesnake,266,4145
2021-07-23T01:13:18-05:00,Beast Of Burden,Rolling Stones,198,1219
2021-07-23T01:21:40-05:00,Breaking The Law,Judas Priest,151,3221
2021-07-23T01:24:12-05:00,Sweet Home Alabama,Lynyrd Skynyrd,271,1497
2021-07-23T01:28:47-05:00,Epic (Album Version),Faith No More,288,4432
2021-07-23T01:33:35-05:00,Tush,ZZ Top,131,1510
2021-07-23T01:35:52-05:00,Brain Stew w/ Jaded,Green Day,280,2470
2021-07-23T01:40:33-05:00,Free Fallin',Tom Petty,240,4044
2021-07-23T01:44:38-05:00,Night Moves,Bob Seger & The Silver Bullet Band,318,1183
2021-07-23T01:54:52-05:00,Comfortably Numb,Pink Floyd,374,1624
2021-07-23T02:01:12-05:00,Limelight,Rush,257,1045
2021-07-23T02:05:34-05:00,Immigrant Song,Led Zeppelin,140,1084
2021-07-23T02:07:55-05:00,Twice As Hard,Black Crowes,248,1929
2021-07-23T02:16:34-05:00,Sweet Emotion,Aerosmith,263,1382
2021-07-23T02:20:57-05:00,Master Of Puppets,Metallica,506,6512
2021-07-23T02:29:28-05:00,Ain't Talkin' 'bout Love,Van Halen,225,1089
2021-07-23T02:33:13-05:00,With Or Without You,U2,283,1287
2021-07-23T02:38:00-05:00,Somebody To Love,Queen,293,2305
2021-07-23T02:42:54-05:00,Disarm,Smashing Pumpkins,192,2046
2021-07-23T02:46:11-05:00,Hell's Bells,AC/DC,310,8748
2021-07-23T02:53:44-05:00,Wheel In The Sky,Journey,243,2634
2021-07-23T02:57:48-05:00,Mary Jane's Last Dance,Tom Petty & The Heartbreakers,262,4605
2021-07-23T03:02:16-05:00,Gimme Shelter,Rolling Stones,264,1401
2021-07-23T03:06:46-05:00,No One Like You,Scorpions,229,1304
2021-07-23T03:10:35-05:00,Hotel California,Eagles,379,4751
2021-07-23T03:23:45-05:00,Fire Woman,Cult,302,2876
2021-07-23T03:28:47-05:00,What's Your Name,Lynyrd Skynyrd,207,1469
2021-07-23T03:32:19-05:00,Black Hole Sun,Soundgarden,312,4699
2021-07-23T03:37:32-05:00,I Don't Know,Ozzy Osbourne,292,4879
2021-07-23T03:42:30-05:00,Don't Look Back,Boston,351,2055
2021-07-23T03:48:22-05:00,Paradise City,Guns N' Roses,404,4741
2021-07-23T03:55:11-05:00,Crossroads (Live),Cream,242,1585
2021-07-23T03:59:23-05:00,Better Man (Single Version),Pearl Jam,236,4701
2021-07-23T04:03:26-05:00,Plush,Stone Temple Pilots,309,6080
2021-07-23T04:08:40-05:00,All Along The Watchtower,Jimi Hendrix,228,1648
2021-07-23T04:12:28-05:00,Spirits In The Material World,Police,171,1315
2021-07-23T04:22:22-05:00,The Chain,Fleetwood Mac,253,1763
2021-07-23T04:26:36-05:00,Run Like Hell,Pink Floyd,256,1625
2021-07-23T04:30:57-05:00,I Want You To Want Me (Live),Cheap Trick,215,1178
2021-07-23T04:34:33-05:00,Money Talks,AC/DC,223,1384
2021-07-23T04:38:21-05:00,Turn Up The Radio,Autograph,263,2583
2021-07-23T04:42:45-05:00,Bohemian Rhapsody,Queen,351,4153
2021-07-23T04:48:40-05:00,Outside,Staind,287,3456
2021-07-23T04:53:35-05:00,Don't Come Around Here No More,"Petty, Tom & The Heartbreakers",299,1870
2021-07-23T04:58:34-05:00,Closer To The Heart,Rush,165,1044
2021-07-23T05:01:26-05:00,"Lovin, Touchin, Squeezin'",Journey,229,2864
2021-07-23T05:05:21-05:00,Rag Doll (CD Version),Aerosmith,252,2977
2021-07-23T05:09:33-05:00,Roadhouse Blues,Doors,238,1707
2021-07-23T05:20:54-05:00,The Unforgiven,Metallica,365,1444
2021-07-23T05:27:00-05:00,Cult Of Personality,Living Colour,292,4380
2021-07-23T05:31:56-05:00,Kashmir,Led Zeppelin,499,4771
2021-07-23T05:40:16-05:00,Runaway,Bon Jovi,223,9008
2021-07-23T05:44:05-05:00,Under My Thumb,Rolling Stones,213,1911
2021-07-23T05:47:43-05:00,Gimme All Your Lovin',ZZ Top,231,2195
2021-07-23T05:58:45-05:00,Come As You Are,Nirvana,210,2442
2021-07-23T06:02:22-05:00,Tightrope,Stevie Ray Vaughn,266,2440
2021-07-23T06:28:52-05:00,Rock 'n' Roll Fantasy,Bad Company,192,1227
2021-07-23T06:32:05-05:00,Under Pressure,Queen & David Bowie,227,2170
2021-07-23T10:00:45-05:00,Dirty Deeds Done Dirt Cheap,AC/DC,222,1751
2021-07-23T10:04:29-05:00,I Love Rock 'n Roll,Joan Jett,172,2311
2021-07-23T10:07:27-05:00,Black Dog,Led Zeppelin,284,2369
2021-07-23T10:12:10-05:00,White Wedding,Billy Idol,243,1427
2021-07-23T10:22:56-05:00,(I Can't Get No) Satisfaction,Rolling Stones,217,1155
2021-07-23T10:26:55-05:00,Down In A Hole,Alice In Chains,329,1571
2021-07-23T10:32:30-05:00,Fat Bottomed Girls,Queen,253,4486
2021-07-23T10:36:45-05:00,We're Not Gonna Take It,Twisted Sister,205,2758
2021-07-23T10:40:10-05:00,Money Edit,Pink Floyd,386,0963
