start time,title,artist,duration,program id
2021-07-10T00:04:33-05:00,Love In An Elevator,Aerosmith,320,4096
2021-07-10T00:09:53-05:00,Going To California,Led Zeppelin,210,1076
2021-07-10T00:16:52-05:00,Sad But True,Metallica,319,4272
2021-07-10T00:22:12-05:00,Money Edit,Pink Floyd,386,0963
2021-07-10T00:28:42-05:00,Dr. Feelgood,Motley Crue,269,2729
2021-07-10T00:33:12-05:00,Dirty Deeds Done Dirt Cheap,AC/DC,222,1751
2021-07-10T00:36:59-05:00,Intruder / (Oh) Pretty Woman,Van Halen,270,2445
2021-07-10T00:41:30-05:00,I Shot The Sheriff,Eric Clapton,253,6906
2021-07-10T00:45:49-05:00,Come As You Are,Nirvana,210,2442
2021-07-10T00:49:29-05:00,I Don't Know,Ozzy Osbourne,292,4879
2021-07-10T00:54:22-05:00,Take The Money And Run,Steve Miller Band,162,1694
2021-07-10T00:57:08-05:00,Don't Cry,Guns 'n Roses,279,5604
2021-07-10T01:01:54-05:00,Cum On Feel The Noize,Quiet Riot,273,2761
2021-07-10T01:06:33-05:00,Gimme 3 Steps,Lynyrd Skynyrd,252,1628
2021-07-10T01:10:45-05:00,The Stroke,Billy Squier,215,4839
2021-07-10T01:19:11-05:00,Kashmir,Led Zeppelin,499,4771
2021-07-10T01:27:31-05:00,Runaway,Bon Jovi,223,9008
2021-07-10T01:31:20-05:00,Under My Thumb,Rolling Stones,213,1911
2021-07-10T01:34:53-05:00,Man In The Box,Alice In Chains,284,6032
2021-07-10T01:39:42-05:00,Refugee,Tom Petty & The Heartbreakers,198,1000
2021-07-10T01:43:01-05:00,Go Your Own Way,Fleetwood Mac,212,1167
2021-07-10T01:46:38-05:00,Gimme All Your Lovin',ZZ Top,231,2195
2021-07-10T01:50:42-05:00,Back In The Saddle,Aerosmith,276,2812
2021-07-10T01:55:18-05:00,Interstate Love Song,Stone Temple Pilots,187,4642
2021-07-10T01:58:32-05:00,The Boys Of Summer,Don Henley,281,2157
2021-07-10T02:03:19-05:00,Fat Bottomed Girls,Queen,253,4486
2021-07-10T02:07:39-05:00,Signs,Tesla,186,1455
2021-07-10T02:10:45-05:00,Ain't Talkin' 'bout Love,Van Halen,225,1089
2021-07-10T02:20:32-05:00,Here I Go Again,Whitesnake,266,4145
2021-07-10T02:24:59-05:00,Hollywood Nights,Bob Seger & The Sbb,291,1193
2021-07-10T02:29:54-05:00,"Bringing On The Heartbreak,switch625",Def Leppard,454,2471
