start time,title,artist,duration,program id
2021-01-12T00:01:44-06:00,"De Do Do Do, De Da Da Da",Police,239,201
2021-01-12T00:05:54-06:00,Home Sweet Home,Motley Crue,224,201
2021-01-12T00:09:39-06:00,White Wedding,Billy Idol,243,201
2021-01-12T00:18:22-06:00,Sweet Emotion,Aerosmith,263,201
2021-01-12T00:22:46-06:00,Rock You Like A Hurricane,Scorpions,248,201
2021-01-12T00:27:06-06:00,Sweet Home Alabama,Lynyrd Skynyrd,271,201
2021-01-12T00:31:38-06:00,Born On The Bayou,Crredence Clearwater Revival,306,201
2021-01-12T00:36:59-06:00,Cheap Sunglasses,ZZ Top,286,201
2021-01-12T00:41:45-06:00,Best Of You,Foo Fighters,253,205
2021-01-12T00:46:11-06:00,Going To California,Led Zeppelin,210,201
2021-01-12T00:52:50-06:00,Round And Round,Ratt,259,201
2021-01-12T00:57:09-06:00,Comfortably Numb,Pink Floyd,374,201
2021-01-12T01:03:30-06:00,My Best Friends Girl,Cars,215,201
2021-01-12T01:07:16-06:00,Any Way You Want It,Journey,189,201
2021-01-12T01:10:25-06:00,Ain't Talkin' 'bout Love,Van Halen,225,201
2021-01-12T01:17:34-06:00,Rock Of Ages,Def Leppard,234,201
2021-01-12T01:21:29-06:00,Roxanne,Police,179,201
2021-01-12T01:24:39-06:00,Heart-Shaped Box,Nirvana,277,201
2021-01-12T01:29:17-06:00,Patience,Guns N' Roses,344,201
2021-01-12T01:35:09-06:00,Cocaine,Eric Clapton,201,201
2021-01-12T01:38:31-06:00,Free Fallin',Tom Petty,240,201
2021-01-12T01:42:44-06:00,Brown Sugar,Rolling Stones,224,201
2021-01-12T01:50:04-06:00,Purple Haze,Jimi Hendrix,164,201
2021-01-12T01:52:48-06:00,Go Your Own Way,Fleetwood Mac,212,201
2021-01-12T01:56:31-06:00,Love In An Elevator,Aerosmith,320,201
2021-01-12T02:01:57-06:00,Fly By Night,Rush,193,201
2021-01-12T02:05:23-06:00,Enter Sandman,Metallica,308,201
2021-01-12T02:10:32-06:00,Life In The Fast Lane,Eagles,277,201
2021-01-12T02:18:45-06:00,Small Town,John Mellencamp,215,201
2021-01-12T02:22:30-06:00,I Can't Drive 55,Sammy Hagar,239,201
2021-01-12T02:26:29-06:00,Can't You See,Marshall Tucker Band,355,201
2021-01-12T02:32:36-06:00,You've Got Another Thing Com,Judas Priest,284,201
2021-01-12T02:37:21-06:00,Hot Blooded,Foreigner,255,201
2021-01-12T02:41:47-06:00,I Still Haven't Found What I,U2,265,201
2021-01-12T02:48:50-06:00,American Woman,Guess Who,224,201
2021-01-12T02:52:35-06:00,Heartbreaker / Living Loving,Led Zeppelin,411,201
2021-01-12T02:59:32-06:00,Simple Man,Lynyrd Skynyrd,342,201
2021-01-12T03:05:21-06:00,Black Hole Sun,Soundgarden,312,201
2021-01-12T03:10:45-06:00,Lagrange,ZZ Top,205,201
2021-01-12T03:14:11-06:00,Kickstart My Heart,Motley Crue,278,201
2021-01-12T03:22:24-06:00,Same Old Song And Dance,Aerosmith,222,201
2021-01-12T03:26:07-06:00,Money For Nothing,Dire Straits,235,205
2021-01-12T03:30:13-06:00,Killer Queen,Queen,174,201
2021-01-12T03:33:07-06:00,Pour Some Sugar On Me,Def Leppard,263,201
2021-01-12T03:37:41-06:00,Baby Hold On,Eddie Money,209,201
2021-01-12T03:41:10-06:00,Pride And Joy,Stevie Ray Vaughan,216,201
2021-01-12T03:44:55-06:00,Miss You,Rolling Stones,275,201
2021-01-12T03:52:13-06:00,Give It Away,Red Hot Chili Peppers,279,202
2021-01-12T03:56:52-06:00,Spirits In The Material Worl,Police,171,201
2021-01-12T03:59:53-06:00,Baba O'riley,"Who, The",294,201
2021-01-12T04:04:55-06:00,Welcome To The Jungle,Guns N' Roses,258,203
2021-01-12T04:09:24-06:00,Hollywood Nights,Bob Seger & The Sbb,291,201
2021-01-12T04:14:16-06:00,Fire,Jimi Hendrix,149,201
2021-01-12T04:22:25-06:00,Rock And Roll,Led Zeppelin,217,201
2021-01-12T04:26:03-06:00,I'll Be There For You,Bon Jovi,329,201
2021-01-12T04:31:43-06:00,Smokin',Boston,257,201
2021-01-12T04:36:01-06:00,My Hero,Foo Fighters,238,201
2021-01-12T04:40:13-06:00,Don't Do Me Like That,Tom Petty & The Heartbreaker,157,201
2021-01-12T04:42:51-06:00,Crazy Train,Ozzy Osbourne,277,201
2021-01-12T04:47:41-06:00,Lights,Journey,189,201
2021-01-12T04:50:55-06:00,With Or Without You,U2,283,201
2021-01-12T04:55:38-06:00,Rag Doll (CD Version),Aerosmith,252,201
