start time,title,artist,duration,program id
2020-10-11T00:05:19-05:00,NO CONTROL Radio Pt I,Chuck Loesch,1601,PG2
2020-10-11T00:33:16-05:00,KLBJ SWEEP 7,NO CONTROL RADIO,3,PG2
2020-10-11T00:33:20-05:00,NO CONTROL Radio Pt II,Chuck Loesch,1783,PG2
2020-10-11T01:04:39-05:00,NO CONTROL Radio Pt III,Chuck Loesch,1576,PG2
2020-10-11T01:32:11-05:00,KLBJ SWEEP 8,NO CONTROL RADIO,4,PG2
2020-10-11T01:32:16-05:00,NO CONTROL Radio Pt IV,Chuck Loesch,1461,PG2
2020-10-11T01:57:38-05:00,KLBJ SWEEP 1,NO CONTROL RADIO,3,PG2
2020-10-11T01:57:41-05:00,NO CONTROL Radio Pt V,Chuck Loesch,426,PG2
2020-10-11T02:04:55-05:00,Fortunate Son,Creedence Clearwater Revival,132,201
2020-10-11T02:07:19-05:00,Beautiful Girls,Van Halen,232,202
2020-10-11T02:11:11-05:00,Spoonman,Soundgarden,244,201
2020-10-11T02:19:32-05:00,Hotel California,Eagles,379,201
2020-10-11T02:25:51-05:00,Photograph,Def Leppard,238,201
2020-10-11T02:30:00-05:00,Take The Money And Run,Steve Miller Band,162,201
2020-10-11T02:32:43-05:00,You Don't Know How It Feels,"Petty, Tom",282,203
2020-10-11T02:37:39-05:00,Born To Run,Bruce Springsteen,264,201
