start time,title,artist,duration,program id
2020-10-05T00:04:02-05:00,Money Edit,Pink Floyd,386,204
2020-10-05T00:10:29-05:00,My Best Friends Girl,Cars,215,201
2020-10-05T00:20:37-05:00,Tom Sawyer,Rush,265,201
2020-10-05T00:25:02-05:00,Interstate Love Song,Stone Temple Pilots,187,201
2020-10-05T00:28:21-05:00,We Will Rock You/we Are The,Queen,294,201
2020-10-05T00:33:15-05:00,Rock And Roll Ain't Noise Po,AC/DC,251,201
2020-10-05T00:37:35-05:00,Have You Ever Seen The Rain,Creedence Clearwater Revival,154,201
2020-10-05T00:40:09-05:00,American Girl,Tom Petty & The Heartbreaker,203,201
2020-10-05T00:43:42-05:00,Under The Bridge (Album Vers,Red Hot Chili Peppers,260,201
2020-10-05T00:48:10-05:00,Shattered,Rolling Stones,222,201
2020-10-05T00:51:53-05:00,Pour Some Sugar On Me,Def Leppard,263,201
2020-10-05T00:56:27-05:00,Iron Man,Black Sabbath,350,201
2020-10-05T01:02:26-05:00,Lithium,Nirvana,253,201
2020-10-05T01:06:51-05:00,Livin' On A Prayer,Bon Jovi,235,201
2020-10-05T01:10:46-05:00,Life In The Fast Lane,Eagles,277,201
2020-10-05T01:22:02-05:00,Cum On Feel The Noize,Quiet Riot,273,201
2020-10-05T01:26:36-05:00,Sad But True,Metallica,319,201
2020-10-05T01:32:01-05:00,Free Bird,Lynyrd Skynyrd,536,201
2020-10-05T01:40:58-05:00,Every Little Thing She Does,Police,241,201
2020-10-05T01:45:10-05:00,Wheel In The Sky,Journey,243,201
2020-10-05T01:49:14-05:00,What Is And What Should Neve,Led Zeppelin,268,201
2020-10-05T01:53:55-05:00,Ain't Talkin' 'bout Love,Van Halen,225,201
2020-10-05T01:57:51-05:00,Edge Of Seventeen,Stevie Nicks,315,201
2020-10-05T02:03:14-05:00,Refugee,Tom Petty & The Heartbreaker,198,201
2020-10-05T02:06:47-05:00,Layla,Derek & The Dominoes,418,201
2020-10-05T02:20:15-05:00,For Those About To Rock (We,AC/DC,342,201
2020-10-05T02:25:57-05:00,Man In The Box,Alice In Chains,284,204
2020-10-05T02:30:53-05:00,Bohemian Rhapsody,Queen,351,201
2020-10-05T02:36:44-05:00,You've Got Another Thing Com,Judas Priest,284,201
2020-10-05T02:41:34-05:00,Hey Jude,Beatles,397,201
2020-10-05T02:48:12-05:00,Dream On,Aerosmith,258,201
2020-10-05T02:52:41-05:00,Boulevard Of Broken Dreams,Green Day,257,201
2020-10-05T02:57:06-05:00,Gimme 3 Steps,Lynyrd Skynyrd,252,201
2020-10-05T03:01:24-05:00,Are You Gonna Go My Way,Lenny Kravitz,202,202
2020-10-05T03:05:01-05:00,Gimme All Your Lovin',ZZ Top,231,201
2020-10-05T03:08:53-05:00,Carry On Wayward Son,Kansas,316,201
2020-10-05T03:20:36-05:00,Intruder / (Oh) Pretty Woman,Van Halen,270,201
2020-10-05T03:25:07-05:00,Possum Kingdom (LP Version),Toadies,303,201
2020-10-05T03:30:20-05:00,Rhiannon,Fleetwood Mac,239,201
2020-10-05T03:34:19-05:00,Money For Nothing,Dire Straits,235,205
