start time,title,artist,duration,program id
2020-11-02T00:05:21-06:00,Thunderstruck,AC/DC,289,201
2020-11-02T00:10:22-06:00,Baba O'riley,"Who, The",294,201
2020-11-02T00:15:17-06:00,"Bringing On The Heartbreak,s",Def Leppard,454,204
2020-11-02T00:27:13-06:00,Roadhouse Blues,Doors,238,201
2020-11-02T00:31:12-06:00,Gimme All Your Lovin',ZZ Top,231,201
2020-11-02T00:35:15-06:00,Give A Little Bit,Supertramp,242,201
2020-11-02T00:39:27-06:00,(YOU GOTTA) FIGHT FOR YOUR R,BEASTIE BOYS,199,201
2020-11-02T00:42:47-06:00,Nothing Else Matters,Metallica,370,201
2020-11-02T00:49:08-06:00,Sweet Emotion,Aerosmith,263,201
2020-11-02T00:57:12-06:00,Any Way You Want It,Journey,189,201
2020-11-02T01:00:29-06:00,Take The Money And Run,Steve Miller Band,162,201
2020-11-02T01:03:21-06:00,Paradise City,Guns N' Roses,404,201
2020-11-02T01:10:05-06:00,Call Me The Breeze,Lynyrd Skynyrd,306,201
2020-11-02T01:20:20-06:00,Learn To Fly,Foo Fighters,229,201
2020-11-02T01:24:10-06:00,Burning Down The House,Talking Heads,223,202
2020-11-02T01:28:03-06:00,Somebody To Love,Queen,293,203
2020-11-02T01:32:57-06:00,Breaking The Law,Judas Priest,151,201
2020-11-02T01:35:40-06:00,Purple Haze,Jimi Hendrix,164,201
2020-11-02T01:38:25-06:00,Hot Blooded,Foreigner,255,201
2020-11-02T01:42:46-06:00,Creep,Stone Temple Pilots,329,201
2020-11-02T01:50:49-06:00,I Can't Drive 55,Sammy Hagar,239,201
2020-11-02T01:54:49-06:00,Smokin',Boston,257,201
2020-11-02T01:59:14-06:00,Free Fallin',Tom Petty,240,201
2020-11-02T02:03:20-06:00,Highway To Hell,AC/DC,206,201
2020-11-02T02:06:57-06:00,Here I Go Again,Whitesnake,266,201
2020-11-02T02:11:24-06:00,Walk This Way,Aerosmith,214,201
2020-11-02T02:19:37-06:00,Longview,Green Day,219,203
2020-11-02T02:23:17-06:00,Cum On Feel The Noize,Quiet Riot,273,201
2020-11-02T02:28:03-06:00,Rock 'n Me,Steve Miller Band,177,201
2020-11-02T02:31:01-06:00,"Girls, Girls, Girls",Motley Crue,263,201
2020-11-02T02:35:36-06:00,I Want You To Want Me (Live),Cheap Trick,215,201
2020-11-02T02:39:12-06:00,The Sky Is Crying,Stevie Ray Vaughan,273,201
2020-11-02T02:43:54-06:00,Rhiannon,Fleetwood Mac,239,201
2020-11-02T02:52:07-06:00,Pour Some Sugar On Me,Def Leppard,263,201
2020-11-02T02:56:30-06:00,Two Tickets To Paradise,Eddie Money,235,201
2020-11-02T03:00:33-06:00,Tom Sawyer,Rush,265,201
2020-11-02T03:05:08-06:00,Even Flow -album Cut,Pearl Jam,290,204
2020-11-02T03:09:58-06:00,D'yer Mak'er,Led Zeppelin,256,201
2020-11-02T03:19:12-06:00,In The Air Tonight,Phil Collins,294,201
2020-11-02T03:24:07-06:00,American Girl,Tom Petty & The Heartbreaker,203,201
2020-11-02T03:27:43-06:00,All Along The Watchtower,Jimi Hendrix,228,201
2020-11-02T03:31:31-06:00,Rocky Mountain Way,Joe Walsh,304,201
2020-11-02T03:36:50-06:00,Jump,Van Halen,227,201
2020-11-02T03:40:38-06:00,Born To Run,Bruce Springsteen,264,201
2020-11-02T03:49:49-06:00,Black Hole Sun,Soundgarden,312,201
2020-11-02T03:55:13-06:00,For Those About To Rock (We,AC/DC,342,201
2020-11-02T04:01:02-06:00,"Hello, I Love You",Doors,124,201
2020-11-02T04:03:18-06:00,Killer Queen,Queen,174,201
2020-11-02T04:06:13-06:00,Smells Like Teen Spirit (Edi,Nirvana,271,201
2020-11-02T04:14:56-06:00,Pride (In The Name Of Love),U2,219,201
2020-11-02T04:18:36-06:00,China Grove,Doobie Brothers,192,201
2020-11-02T04:21:59-06:00,Crazy Train,Ozzy Osbourne,277,201
2020-11-02T04:26:36-06:00,Going To California,Led Zeppelin,210,201
2020-11-02T04:30:17-06:00,Train In Vain,Clash,177,201
2020-11-02T04:33:15-06:00,You Can't Always Get What Yo,Rolling Stones,437,201
