start time,title,artist,duration,program id
2020-10-17T00:03:12-05:00,House Of The Rising Sun,The Animals,267,201
2020-10-17T00:07:51-05:00,Breakdown,Tom Petty & The Heartbreaker,155,201
2020-10-17T00:10:26-05:00,Shine (Album Version),Collective Soul,303,201
2020-10-17T00:18:41-05:00,Black Dog,Led Zeppelin,284,201
2020-10-17T00:23:25-05:00,Gimme All Your Lovin',ZZ Top,231,201
2020-10-17T00:27:31-05:00,Simple Man,Lynyrd Skynyrd,342,201
2020-10-17T00:33:14-05:00,Possum Kingdom (LP Version),Toadies,303,201
2020-10-17T00:38:23-05:00,Money Edit,Pink Floyd,386,204
2020-10-17T00:47:00-05:00,Shoot To Thrill,AC/DC,316,201
2020-10-17T00:52:17-05:00,Born To Run,Bruce Springsteen,264,201
2020-10-17T00:56:53-05:00,Panama,Van Halen,209,203
2020-10-17T01:00:23-05:00,The Joker,Steve Miller Band,208,201
2020-10-17T01:03:56-05:00,Dream On,Aerosmith,258,201
2020-10-17T01:08:26-05:00,Rebel Yell,Billy Idol,283,201
2020-10-17T01:13:09-05:00,Nothing Else Matters,Metallica,370,201
2020-10-17T01:23:18-05:00,Don't Do Me Like That,Tom Petty & The Heartbreaker,157,201
2020-10-17T01:25:55-05:00,Crazy Train,Ozzy Osbourne,277,201
2020-10-17T01:30:43-05:00,Take It Easy,Eagles,205,201
2020-10-17T01:34:09-05:00,Bullet With Butterfly Wings,Smashing Pumpkins,255,201
2020-10-17T01:38:38-05:00,Rock And Roll,Led Zeppelin,217,201
2020-10-17T01:42:16-05:00,Animal,Def Leppard,241,201
