start time,title,artist,duration,program id
2020-10-14T00:01:05-05:00,Brown Sugar,Rolling Stones,224,201
2020-10-14T00:05:03-05:00,Love Bites,Def Leppard,321,201
2020-10-14T00:10:25-05:00,Two Tickets To Paradise,Eddie Money,235,201
2020-10-14T00:21:35-05:00,Learning To Fly,Tom Petty & The Heartbreaker,231,201
2020-10-14T00:25:26-05:00,Ramble On,Led Zeppelin,243,201
2020-10-14T00:29:38-05:00,Who Are You,"Who, The",373,201
2020-10-14T00:35:52-05:00,Heart-Shaped Box,Nirvana,277,201
2020-10-14T00:40:41-05:00,Tush,ZZ Top,131,201
2020-10-14T00:42:52-05:00,In The Air Tonight,Phil Collins,294,201
2020-10-14T00:47:54-05:00,Ain't Talkin' 'bout Love,Van Halen,225,201
2020-10-14T00:51:47-05:00,My Hero,Foo Fighters,238,201
2020-10-14T00:55:45-05:00,Dirty Deeds Done Dirt Cheap,AC/DC,222,201
2020-10-14T00:59:39-05:00,You Give Love A Bad Name,Bon Jovi,211,203
2020-10-14T01:03:16-05:00,Simple Man,Lynyrd Skynyrd,342,201
2020-10-14T01:09:08-05:00,Don't Stop Believin',Journey,243,201
2020-10-14T01:13:11-05:00,Wish You Were Here,Pink Floyd,279,201
2020-10-14T01:24:35-05:00,Purple Haze,Jimi Hendrix,164,201
2020-10-14T01:27:19-05:00,More Than A Feeling,Boston,273,201
2020-10-14T01:32:05-05:00,"Girls, Girls, Girls",Motley Crue,263,201
2020-10-14T01:36:28-05:00,Black,Pearl Jam,326,201
2020-10-14T01:42:05-05:00,Magic Man,Heart,325,201
2020-10-14T01:47:31-05:00,Free Fallin',Tom Petty,240,201
2020-10-14T01:51:36-05:00,Hold The Line,Toto,234,201
2020-10-14T01:55:36-05:00,Spoonman,Soundgarden,244,201
2020-10-14T01:59:40-05:00,Miss You,Rolling Stones,275,201
2020-10-14T02:04:21-05:00,Hair Of The Dog,Nazareth,240,201
2020-10-14T02:08:33-05:00,Whole Lotta Love,Led Zeppelin,322,201
2020-10-14T02:13:55-05:00,Rock 'n Me,Steve Miller Band,177,201
2020-10-14T02:23:42-05:00,Paradise City,Guns N' Roses,404,201
2020-10-14T02:30:26-05:00,Life's Been Good  (Long Vers,Joe Walsh,472,201
2020-10-14T02:38:28-05:00,This Is A Call,Foo Fighters,226,203
