start time,title,artist,duration,program id
2020-10-25T00:01:23-05:00,NO CONTROL Radio Pt I,Chuck Loesch,1529,PG2
2020-10-25T00:28:38-05:00,KLBJ SWEEP 5,NO CONTROL RADIO,2,PG2
2020-10-25T00:28:41-05:00,Ace of Spades,Motorhead,161,201
2020-10-25T00:31:23-05:00,NO CONTROL Radio Pt II,Chuck Loesch,1683,PG2
2020-10-25T01:00:46-05:00,NO CONTROL Radio Pt III,Chuck Loesch,1506,PG2
2020-10-25T01:28:52-05:00,KLBJ SWEEP 6,NO CONTROL RADIO,6,PG2
2020-10-25T01:28:58-05:00,NO CONTROL Radio Pt IV,Chuck Loesch,1492,PG2
2020-10-25T01:55:40-05:00,KLBJ SWEEP 7,NO CONTROL RADIO,3,PG2
2020-10-25T01:55:43-05:00,NO CONTROL Radio Pt V,Chuck Loesch,347,PG2
2020-10-25T02:01:38-05:00,Mary Jane's Last Dance,Tom Petty & The Heartbreaker,262,201
2020-10-25T02:06:10-05:00,Cum On Feel The Noize,Quiet Riot,273,201
2020-10-25T02:10:44-05:00,Cheap Sunglasses,ZZ Top,286,201
2020-10-25T02:18:30-05:00,Pride (In The Name Of Love),U2,219,201
2020-10-25T02:22:10-05:00,Sweet Home Alabama,Lynyrd Skynyrd,271,201
2020-10-25T02:26:47-05:00,Hysteria,Def Leppard,341,201
2020-10-25T02:32:28-05:00,Hair Of The Dog,Nazareth,240,201
2020-10-25T02:36:40-05:00,You Shook Me All Night Long,AC/DC,209,201
