start time,title,artist,duration,program id
2021-08-28T00:03:21-05:00,Twice As Hard,Black Crowes,248,1929
2021-08-28T00:07:34-05:00,Texas Flood,Stevie Ray Vaughn,318,1670
2021-08-28T00:12:53-05:00,Hollywood Nights,Bob Seger & The Sbb,291,1193
2021-08-28T00:23:32-05:00,Hey You,Pink Floyd,275,1623
2021-08-28T00:28:07-05:00,Hot Blooded,Foreigner,255,2739
2021-08-28T00:32:28-05:00,Paradise City,Guns N' Roses,404,4741
2021-08-28T00:39:12-05:00,Machinehead,Bush,246,2611
2021-08-28T00:43:24-05:00,Paint It Black,Rolling Stones,194,1154
2021-08-28T00:46:39-05:00,Rock The Casbah,Clash,213,1072
2021-08-28T00:50:17-05:00,Sweet Emotion,Aerosmith,263,1382
2021-08-28T00:59:52-05:00,Finish What Ya Started,Van Halen,246,2997
2021-08-28T01:04:05-05:00,My Kinda Lover,Billy Squier,198,5063
2021-08-28T01:07:29-05:00,Over The Hills And Far Away,Led Zeppelin,286,1063
2021-08-28T01:12:15-05:00,Rooster,Alice In Chains,362,4467
2021-08-28T01:22:17-05:00,We Will Rock You/we Are The Champions,Queen,294,2584
2021-08-28T01:27:12-05:00,Every Rose Has It's Thorn,Poison,249,3458
2021-08-28T01:31:25-05:00,Tush,ZZ Top,131,1510
2021-08-28T01:33:37-05:00,Cult Of Personality,Living Colour,292,4380
2021-08-28T01:38:35-05:00,What's Your Name,Lynyrd Skynyrd,207,1469
2021-08-28T01:42:02-05:00,It's Been Awhile,Staind,259,2346
2021-08-28T01:46:26-05:00,Back In Black,AC/DC,236,1491
2021-08-28T01:54:29-05:00,Rocky Mountain Way,Joe Walsh,304,1577
2021-08-28T01:59:34-05:00,Vasoline,Stonetemple Pilots,163,2877
2021-08-28T02:02:24-05:00,Don't Do Me Like That,Tom Petty & The Heartbreakers,157,1001
2021-08-28T02:05:07-05:00,Kickstart My Heart,Motley Crue,278,2734
2021-08-28T02:09:46-05:00,Foreplay/Long Time,Boston,459,1453
2021-08-28T02:20:57-05:00,Photograph,Def Leppard,238,1798
2021-08-28T02:24:56-05:00,Hard To Handle,Black Crowes,183,4013
2021-08-28T02:28:06-05:00,Same Old Song And Dance,Aerosmith,222,4149
2021-08-28T02:31:48-05:00,Stop Draggin' My Heart Around,Stevie Nicks & Tom Petty,226,1368
2021-08-28T02:35:39-05:00,The Ocean,Led Zeppelin,259,2061
